,param,seasonal,AIC
80,"(1, 1, 2)","(2, 0, 3, 12)",333.57973745881884
81,"(1, 1, 2)","(2, 1, 1, 12)",-436.0509779168786
82,"(1, 1, 2)","(2, 1, 2, 12)",-426.53975800869745
83,"(1, 1, 2)","(2, 1, 3, 12)",-373.3752440371907
84,"(1, 1, 2)","(3, 0, 1, 12)",-434.1584745044225
85,"(1, 1, 2)","(3, 0, 2, 12)",-431.6000699270808
86,"(1, 1, 2)","(3, 0, 3, 12)",176.151749828729
87,"(1, 1, 2)","(3, 1, 1, 12)",-389.5710781005424
88,"(1, 1, 2)","(3, 1, 2, 12)",-390.4185962393054
89,"(1, 1, 2)","(3, 1, 3, 12)",-379.96443603418913
90,"(1, 1, 3)","(1, 0, 1, 12)",-538.7612224326738
91,"(1, 1, 3)","(1, 0, 2, 12)",-477.4659714269521
92,"(1, 1, 3)","(1, 0, 3, 12)",2689.0354481277946
93,"(1, 1, 3)","(1, 1, 1, 12)",-483.05296151307374
94,"(1, 1, 3)","(1, 1, 2, 12)",-425.5508468364641
95,"(1, 1, 3)","(1, 1, 3, 12)",-367.7631928887733
96,"(1, 1, 3)","(2, 0, 1, 12)",-489.17019345801845
97,"(1, 1, 3)","(2, 0, 2, 12)",-491.2243501847968
98,"(1, 1, 3)","(2, 0, 3, 12)",2584.77844716316
99,"(1, 1, 3)","(2, 1, 1, 12)",-434.4347069818454
100,"(1, 1, 3)","(2, 1, 2, 12)",-422.52060023240995
101,"(1, 1, 3)","(2, 1, 3, 12)",-347.1270774928877
102,"(1, 1, 3)","(3, 0, 1, 12)",-433.480709987151
103,"(1, 1, 3)","(3, 0, 2, 12)",-435.54233367829073
104,"(1, 1, 3)","(3, 0, 3, 12)",2674.861061624291
105,"(1, 1, 3)","(3, 1, 1, 12)",-389.1624271128313
106,"(1, 1, 3)","(3, 1, 2, 12)",-390.9539397443142
107,"(1, 1, 3)","(3, 1, 3, 12)",-370.40816290647626
108,"(2, 0, 1)","(1, 0, 1, 12)",-558.0398466493863
109,"(2, 0, 1)","(1, 0, 2, 12)",-489.6608483876768
110,"(2, 0, 1)","(1, 0, 3, 12)",2316.18140589981
111,"(2, 0, 1)","(1, 1, 1, 12)",-491.37564718513363
112,"(2, 0, 1)","(1, 1, 2, 12)",-429.4392272239181
